Date,Ward,No_confirmed_cases,
07-May-20,Dhankawadi-Sahakarnagar,90,
07-May-20,Kondhwa-Yewalewadi,30,
07-May-20,Shivajinagar-Ghole Road,263,
07-May-20,Kasba-Vishrambagwada,201,
07-May-20,Bhawani Peth,463,
07-May-20,Bibwewadi,97,
07-May-20,Dhole Patil,359,
07-May-20,Wanawadi-Ramtekdi,114,
07-May-20,Hadapsar-Mundhawa,54,
07-May-20,Yerwada-Kalas-Dhanori,247,
07-May-20,Nagar Road-Wadgaonsheri,58,
08-May-20,Aundh-Baner,6,
08-May-20,Kothrud-Bavdhan,3,
08-May-20,Warje-Karvenagar,15,
08-May-20,Sinhagad Road,13,
08-May-20,Dhankawadi-Sahakarnagar,101,
08-May-20,Kondhwa-Yewalewadi,31,
08-May-20,Shivajinagar-Ghole Road,279,
08-May-20,Kasba-Vishrambagwada,230,
08-May-20,Bhawani Peth,475,
08-May-20,Bibwewadi,109,
08-May-20,Dhole Patil,371,
08-May-20,Wanawadi-Ramtekdi,118,
08-May-20,Hadapsar-Mundhawa,56,
08-May-20,Yerwada-Kalas-Dhanori,258,
08-May-20,Nagar Road-Wadgaonsheri,60,
09-May-20,Aundh-Baner,5,
09-May-20,Kothrud-Bavdhan,3,
09-May-20,Warje-Karvenagar,15,
09-May-20,Sinhagad Road,14,
09-May-20,Dhankawadi-Sahakarnagar,110,
09-May-20,Kondhwa-Yewalewadi,32,
09-May-20,Shivajinagar-Ghole Road,295,
09-May-20,Kasba-Vishrambagwada,259,
09-May-20,Bhawani Peth,487,
09-May-20,Bibwewadi,121,
09-May-20,Dhole Patil,383,
09-May-20,Wanawadi-Ramtekdi,122,
09-May-20,Hadapsar-Mundhawa,58,
09-May-20,Yerwada-Kalas-Dhanori,269,
09-May-20,Nagar Road-Wadgaonsheri,61,
10-May-20,Aundh-Baner,6,
10-May-20,Kothrud-Bavdhan,4,
10-May-20,Warje-Karvenagar,15,
10-May-20,Sinhagad Road,15,
10-May-20,Dhankawadi-Sahakarnagar,122,
10-May-20,Kondhwa-Yewalewadi,33,
10-May-20,Shivajinagar-Ghole Road,311,
10-May-20,Kasba-Vishrambagwada,288,
10-May-20,Bhawani Peth,499,
10-May-20,Bibwewadi,133,
10-May-20,Dhole Patil,395,
10-May-20,Wanawadi-Ramtekdi,126,
10-May-20,Hadapsar-Mundhawa,60,
10-May-20,Yerwada-Kalas-Dhanori,280,
10-May-20,Nagar Road-Wadgaonsheri,63,
11-May-20,Aundh-Baner,5,
11-May-20,Kothrud-Bavdhan,4,
11-May-20,Warje-Karvenagar,15,
11-May-20,Sinhagad Road,15,
11-May-20,Dhankawadi-Sahakarnagar,135,
11-May-20,Kondhwa-Yewalewadi,34,
11-May-20,Shivajinagar-Ghole Road,326,
11-May-20,Kasba-Vishrambagwada,319,
11-May-20,Bhawani Peth,511,
11-May-20,Bibwewadi,145,
11-May-20,Dhole Patil,409,
11-May-20,Wanawadi-Ramtekdi,132,
11-May-20,Hadapsar-Mundhawa,64,
11-May-20,Yerwada-Kalas-Dhanori,294,
11-May-20,Nagar Road-Wadgaonsheri,65,
12-May-20,Aundh-Baner,5,
12-May-20,Kothrud-Bavdhan,6,
12-May-20,Warje-Karvenagar,17,
12-May-20,Sinhagad Road,15,
12-May-20,Dhankawadi-Sahakarnagar,141,
12-May-20,Kondhwa-Yewalewadi,39,
12-May-20,Shivajinagar-Ghole Road,334,
12-May-20,Kasba-Vishrambagwada,327,
12-May-20,Bhawani Peth,533,
12-May-20,Bibwewadi,146,
12-May-20,Dhole Patil,456,
12-May-20,Wanawadi-Ramtekdi,135,
12-May-20,Hadapsar-Mundhawa,66,
12-May-20,Yerwada-Kalas-Dhanori,336,
12-May-20,Nagar Road-Wadgaonsheri,75,
13-May-20,Aundh-Baner,5,
13-May-20,Kothrud-Bavdhan,6,
13-May-20,Warje-Karvenagar,17,
13-May-20,Sinhagad Road,16,
13-May-20,Dhankawadi-Sahakarnagar,145,
13-May-20,Kondhwa-Yewalewadi,41,
13-May-20,Shivajinagar-Ghole Road,339,
13-May-20,Kasba-Vishrambagwada,344,
13-May-20,Bhawani Peth,547,
13-May-20,Bibwewadi,153,
13-May-20,Dhole Patil,466,
13-May-20,Wanawadi-Ramtekdi,146,
13-May-20,Hadapsar-Mundhawa,68,
13-May-20,Yerwada-Kalas-Dhanori,342,
13-May-20,Nagar Road-Wadgaonsheri,79,
14-May-20,Aundh-Baner,5,
14-May-20,Kothrud-Bavdhan,7,
14-May-20,Warje-Karvenagar,18,
14-May-20,Sinhagad Road,19,
14-May-20,Dhankawadi-Sahakarnagar,153,
14-May-20,Kondhwa-Yewalewadi,42,
14-May-20,Shivajinagar-Ghole Road,344,
14-May-20,Kasba-Vishrambagwada,360,
14-May-20,Bhawani Peth,564,
14-May-20,Bibwewadi,158,
14-May-20,Dhole Patil,525,
14-May-20,Wanawadi-Ramtekdi,149,
14-May-20,Hadapsar-Mundhawa,70,
14-May-20,Yerwada-Kalas-Dhanori,373,
14-May-20,Nagar Road-Wadgaonsheri,88,
15-May-20,Aundh-Baner,6,
15-May-20,Kothrud-Bavdhan,9,
15-May-20,Warje-Karvenagar,21,
15-May-20,Sinhagad Road,21,
15-May-20,Dhankawadi-Sahakarnagar,159,
15-May-20,Kondhwa-Yewalewadi,46,
15-May-20,Shivajinagar-Ghole Road,350,
15-May-20,Kasba-Vishrambagwada,368,
15-May-20,Bhawani Peth,571,
15-May-20,Bibwewadi,165,
15-May-20,Dhole Patil,560,
15-May-20,Wanawadi-Ramtekdi,155,
15-May-20,Hadapsar-Mundhawa,70,
15-May-20,Yerwada-Kalas-Dhanori,389,
15-May-20,Nagar Road-Wadgaonsheri,88,
16-May-20,Aundh-Baner,8,
16-May-20,Kothrud-Bavdhan,9,
16-May-20,Warje-Karvenagar,24,
16-May-20,Sinhagad Road,33,
16-May-20,Dhankawadi-Sahakarnagar,168,
16-May-20,Kondhwa-Yewalewadi,52,
16-May-20,Shivajinagar-Ghole Road,355,
16-May-20,Kasba-Vishrambagwada,374,
16-May-20,Bhawani Peth,607,
16-May-20,Bibwewadi,169,
16-May-20,Dhole Patil,605,
16-May-20,Wanawadi-Ramtekdi,171,
16-May-20,Hadapsar-Mundhawa,77,
16-May-20,Yerwada-Kalas-Dhanori,421,
16-May-20,Nagar Road-Wadgaonsheri,99,
17-May-20,Aundh-Baner,8,
17-May-20,Kothrud-Bavdhan,9,
17-May-20,Warje-Karvenagar,26,
17-May-20,Sinhagad Road,43,
17-May-20,Dhankawadi-Sahakarnagar,177,
17-May-20,Kondhwa-Yewalewadi,58,
17-May-20,Shivajinagar-Ghole Road,360,
17-May-20,Kasba-Vishrambagwada,391,
17-May-20,Bhawani Peth,627,
17-May-20,Bibwewadi,182,
17-May-20,Dhole Patil,700,
17-May-20,Wanawadi-Ramtekdi,178,
17-May-20,Hadapsar-Mundhawa,82,
17-May-20,Yerwada-Kalas-Dhanori,431,
17-May-20,Nagar Road-Wadgaonsheri,101,
18-May-20,Aundh-Baner,8,
18-May-20,Kothrud-Bavdhan,9,
18-May-20,Warje-Karvenagar,27,
18-May-20,Sinhagad Road,44,
18-May-20,Dhankawadi-Sahakarnagar,182,
18-May-20,Kondhwa-Yewalewadi,60,
18-May-20,Shivajinagar-Ghole Road,362,
